omt@byersgilt:/mnt/c/Users/omt$ ./tt.o 4 8
Program format is: tt.o [number of threads [number of iterations]]

Main thread is 894404416

PID 1779, Thread 894400256, Iteration no. 1, CPU ID 3

PID 1779, Thread 886007552, Iteration no. 1, CPU ID 5

PID 1779, Thread 869222144, Iteration no. 1, CPU ID 0

PID 1779, Thread 877614848, Iteration no. 1, CPU ID 1

PID 1779, Thread 877614848, Iteration no. 2, CPU ID 1

PID 1779, Thread 894400256, Iteration no. 2, CPU ID 3

PID 1779, Thread 886007552, Iteration no. 2, CPU ID 5

PID 1779, Thread 869222144, Iteration no. 2, CPU ID 1

PID 1779, Thread 877614848, Iteration no. 3, CPU ID 3

PID 1779, Thread 894400256, Iteration no. 3, CPU ID 4

PID 1779, Thread 886007552, Iteration no. 3, CPU ID 5

PID 1779, Thread 869222144, Iteration no. 3, CPU ID 1

PID 1779, Thread 877614848, Iteration no. 4, CPU ID 3

PID 1779, Thread 877614848, Iteration no. 5, CPU ID 3

PID 1779, Thread 869222144, Iteration no. 4, CPU ID 1

PID 1779, Thread 894400256, Iteration no. 4, CPU ID 5

PID 1779, Thread 886007552, Iteration no. 4, CPU ID 6

PID 1779, Thread 877614848, Iteration no. 6, CPU ID 3

PID 1779, Thread 869222144, Iteration no. 5, CPU ID 1

PID 1779, Thread 894400256, Iteration no. 5, CPU ID 5

PID 1779, Thread 886007552, Iteration no. 5, CPU ID 6

PID 1779, Thread 877614848, Iteration no. 7, CPU ID 3

PID 1779, Thread 869222144, Iteration no. 6, CPU ID 1

PID 1779, Thread 894400256, Iteration no. 6, CPU ID 5

PID 1779, Thread 886007552, Iteration no. 6, CPU ID 6

PID 1779, Thread 877614848, Iteration no. 8, CPU ID 3

PID 1779, Thread 869222144, Iteration no. 7, CPU ID 1

PID 1779, Thread 894400256, Iteration no. 7, CPU ID 5

PID 1779, Thread 886007552, Iteration no. 7, CPU ID 6

PID 1779, Thread 869222144, Iteration no. 8, CPU ID 1

PID 1779, Thread 894400256, Iteration no. 8, CPU ID 5

PID 1779, Thread 886007552, Iteration no. 8, CPU ID 6
